,movieId,title,listed_in,ratings,Prome_Raitings
0,ns5176,lady dynamite,tv comedies,251,4.48
1,as1897,le mans: racing is everything,"documentary, sports",248,4.47
2,ds635,america's national parks,"animals & nature, docuseries",245,4.47
3,ns6265,beauty & the beast,"crime tv shows, romantic tv shows, tv dramas",247,4.47
4,as5312,vivarium,"fantasy, science fiction, suspense",271,4.47
5,ds868,"dr. t, lone star vet","docuseries, family, medical",257,4.47
6,ns413,chhota bheem and the incan adventure,children & family movies,247,4.47
7,as5151,m.f.a.,"drama, horror, suspense",247,4.47
8,ns852,99 songs (tamil),"dramas, international movies, music & musicals",247,4.46
9,ns4187,"abdullah, the final witness","dramas, international movies",251,4.46
10,hs2815,curious george,"cartoons, comedy, kids",255,4.46
11,as820,tales from the loop,science fiction,256,4.46
12,as6791,the ring-a-tangs - baby shark & more puppet kids songs,kids,244,4.46
13,ns5587,mike birbiglia: thank god for jokes,stand-up comedy,242,4.46
14,as2912,card sharks with bob eubanks,unscripted,249,4.46
15,ns179,the interview,"action & adventure, comedies",246,4.46
16,ds899,frank and ollie,"biographical, documentary",258,4.46
17,ds290,mickey go local,"animation, comedy, kids",242,4.46
18,as6812,bottom feeders,comedy,254,4.46
19,ds1439,those calloways,"animals & nature, drama, family",242,4.46
20,hs3032,fruits basket,"anime, comedy, drama",261,4.46
21,ns4287,prince of peoria: a christmas moose miracle,"children & family movies, comedies",268,4.46
22,ns954,the whole truth,"dramas, thrillers",247,4.46
23,as8659,score,drama,264,4.46
24,ns2939,fifty: the series,"international tv shows, romantic tv shows, tv dramas",244,4.46
25,ns7296,leyla and mecnun,"international tv shows, romantic tv shows, tv comedies",278,4.46
26,ds1175,saludos amigos,"animation, comedy, family",255,4.46
27,ns8224,the brave one,"dramas, thrillers",246,4.46
28,as3684,hallowed be thy name,"horror, suspense",242,4.46
29,as4458,uncle frank,"comedy, drama, lgbtq",244,4.46
30,as4504,taxi blues,international,245,4.46
31,ds1130,pinocchio,"animation, family, fantasy",241,4.46
32,ns7160,kaakan,"dramas, international movies, romantic movies",267,4.46
33,ns7299,life after beth,"comedies, horror movies, independent movies",258,4.45
34,ns7676,operation proposal,"international tv shows, korean tv shows, romantic tv shows",265,4.45
35,as6085,man of tomorrow: prisoner 984,"drama, science fiction, suspense",246,4.45
36,ns5552,the tenth man,"dramas, international movies",243,4.45
37,ns8168,terminator salvation,"action & adventure, sci-fi & fantasy",283,4.45
38,ns4671,sisters,"international tv shows, tv comedies, tv dramas",254,4.45
39,as211,us the duo: christmas live in la,music videos and concerts,245,4.45
40,ns5797,sample this,"documentaries, music & musicals",248,4.45
41,ns6638,doubt,"dramas, faith & spirituality",246,4.45
42,as289,top gear: the perfect road trip italy,documentary,256,4.45
